Fecha (UTC),Latitud [º],Longitud [º],Profundidad [km],Magnitud [*]
2015-10-24 14:52:23,-30.04,-71.31,52,4
2015-12-04 08:44:37,-30.8,-71.46,53,4.5
2015-06-01 18:12:27,-30.64,-70.31,10,4.3
2015-10-08 08:46:14,-30.71,-71.45,48,4.1
2015-09-17 08:00:04,-30.68,-71.39,46,4.6
2015-01-23 01:25:39,-29.84,-71.46,64,4.4
2015-05-21 06:03:58,-32.07,-70.27,115,4.7
2015-02-04 01:45:06,-29.41,-70.63,83,4.1
2015-10-14 08:35:37,-31.26,-71.46,50,4.2
2015-09-19 01:22:55,-30.79,-71.44,44,4
2015-09-24 18:20:30,-30.88,-71.45,51,4
2015-10-02 16:11:50,-30.78,-71.45,48,4.1
2015-06-24 22:18:22,-30.37,-71.28,50,4.5
2015-09-26 08:19:37,-30.76,-71.39,50,4.1
2015-01-01 21:08:22,-31.07,-71.35,61,4.9
2015-09-26 03:03:22,-30.77,-71.41,38,4.4
2015-10-12 01:46:46,-30.7,-71.43,46,4.3
2015-09-24 16:34:06,-30.71,-71.43,48,4.4
2015-10-13 19:33:01,-31.17,-71.44,48,4.3
2015-11-16 09:57:07,-30.59,-71.27,47,4
2015-01-21 17:33:38,-29.8,-71.25,60,4.1
2015-10-03 08:26:55,-30.34,-71.45,56,4.2
2015-11-03 21:30:17,-30.8,-71.41,50,4
2015-10-03 18:59:37,-30.78,-71.41,49,4.3
2015-10-02 15:04:17,-30.53,-71.36,49,4.5
2015-10-07 19:35:16,-30.83,-71.42,52,4.2
2015-11-07 09:16:59,-30.82,-71.38,50,4.4
2015-07-27 15:23:21,-29.5,-70.77,86,4.7
2015-03-05 21:30:32,-29.32,-71.11,60,5.3
2015-02-04 13:09:05,-29.38,-71.01,79,4.3
2015-09-17 16:54:59,-30.76,-71.46,43,4.3
2015-10-07 03:02:08,-30.78,-71.39,48,4.4
2015-10-02 22:23:00,-30.74,-71.35,53,4
2015-02-17 07:50:44,-30.96,-71.3,59,4.6
2015-01-29 00:08:11,-31.57,-70.55,116,4.9
2015-08-25 06:16:40,-29.8,-71.2,63,4.5
2015-10-20 23:55:48,-30.82,-71.4,50,4.3
2015-10-03 19:43:20,-29.45,-71.13,55,4.3
2015-09-21 00:05:33,-30.76,-71.46,40,4.4
2015-09-17 17:58:30,-30.83,-71.38,44,4.3
2015-10-25 13:13:45,-29.72,-71.2,44,4.7
2015-11-14 12:58:19,-30.74,-71.41,44,4.3
2015-09-26 03:24:36,-30.79,-71.39,40,4.1
2015-10-01 14:00:52,-29.74,-71.31,52,4.3
2015-09-17 23:33:56,-31.03,-71.38,45,4
2015-09-18 05:33:37,-31.15,-71.37,45,4.6
2015-09-21 16:48:07,-30.83,-71.46,49,4.3
2015-02-11 17:07:18,-30.21,-71.32,68,5
2015-09-28 16:44:13,-30.98,-71.32,48,4.1
2015-10-20 04:01:27,-29.98,-71.02,85,4
2015-09-30 22:59:45,-30.75,-71.41,48,4.6
2015-09-19 04:44:12,-30.82,-71.39,51,4.6
2015-10-02 20:02:40,-31.08,-71.33,58,4
2015-05-15 06:05:21,-29.57,-71.24,66,4.5
2015-09-17 03:32:29,-31.4,-71.45,58,4.4
2015-09-17 15:10:20,-31.24,-71.25,61,4.2
2015-09-18 11:05:55,-31.59,-71.46,38,4.1
2015-09-23 00:23:46,-31.63,-71.27,44,4.1
2015-09-23 14:05:57,-31.44,-71.44,50,4.4
2015-09-26 09:37:52,-31.36,-71.41,46,4.3
2015-09-28 04:16:09,-31.41,-71.36,50,4.1
2015-09-28 13:01:53,-31.18,-71.44,54,4.3
2015-09-28 16:59:48,-31.61,-71.44,48,4.2
2015-10-09 08:20:39,-31.01,-71.31,59,4.1
2015-11-16 01:57:10,-31.6,-71.42,27,4
2015-12-01 07:26:13,-31.59,-71.36,41,4.7
2015-12-10 00:37:37,-30.98,-71.33,59,4.3
2015-12-21 17:04:51,-31.54,-71.41,48,4.2
2015-12-23 09:15:37,-31.06,-71.34,57,4.5
2015-12-28 07:25:36,-31.63,-70.64,117,4.2
2015-07-12 06:54:49,-32.09,-71.16,64,4.1
2015-07-23 17:28:05,-31.91,-71.1,65,4
2015-07-24 14:12:04,-30.92,-71.2,57,4.4
2015-08-01 19:53:49,-31.96,-71.2,65,4.3
2015-08-23 23:10:03,-29.72,-71.25,50,6
2015-09-17 00:06:18,-31.0,-71.48,38,5.3
2015-09-17 02:52:43,-30.92,-71.35,45,4.8
2015-09-17 02:59:28,-30.98,-71.36,54,5.5
2015-09-17 03:12:42,-30.92,-71.26,47,5.4
2015-09-17 08:32:43,-31.6,-71.41,39,5
2015-09-17 10:31:25,-30.93,-71.46,51,5
2015-09-17 16:08:09,-29.85,-70.48,39,5.3
2015-09-18 14:08:08,-30.87,-71.27,45,4.5
2015-09-19 22:59:41,-30.73,-71.3,28,4.8
2015-09-20 03:02:01,-30.79,-71.32,48,5.5
2015-09-21 07:18:37,-30.66,-71.41,39,4.5
2015-09-21 10:13:09,-30.73,-71.34,30,4.5
2015-09-21 11:05:27,-30.97,-71.47,32,4
2015-09-22 07:12:59,-31.45,-71.13,63,6.2
